# One line per image: filename | prompt
# Keep the whole line after the | as the prompt - the shared tail is the style lock.

tractor.webp | a Tractor as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
washing-machine.webp | a Washing Machine as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
weather-balloon.webp | a Weather Balloon as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
zeppelin.webp | a Zeppelin as a lovingly detailed machine portrait, three-quarter view. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
grandfather-s-lucky-coin.webp | museum-quality still-life of a Grandfather's Lucky Coin. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
leviathan-scale.webp | maritime still-life or scene of Leviathan Scale, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
mermaid-s-comb.webp | maritime still-life or scene of Mermaid's Comb, sea-worn and salt-stained. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
aardvark.webp | majestic portrait of a Aardvark, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
adelie-penguin.webp | majestic portrait of a Adelie Penguin, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
african-grey-parrot.webp | majestic portrait of a African Grey Parrot, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
alpaca.webp | majestic portrait of a Alpaca, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-beaver.webp | majestic portrait of a American Beaver, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-bison.webp | majestic portrait of a American Bison, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-bullfrog.webp | majestic portrait of a American Bullfrog, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-crow.webp | majestic portrait of a American Crow, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-flamingo.webp | majestic portrait of a American Flamingo, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-kestrel.webp | majestic portrait of a American Kestrel, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-robin.webp | majestic portrait of a American Robin, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
american-toad.webp | majestic portrait of a American Toad, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
andean-condor.webp | majestic portrait of a Andean Condor, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
angelfish.webp | majestic portrait of a Angelfish, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
anglerfish.webp | majestic portrait of a Anglerfish, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
anna-s-hummingbird.webp | majestic portrait of a Anna's Hummingbird, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
aphid.webp | majestic portrait of a Aphid, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
arctic-fox.webp | majestic portrait of a Arctic Fox, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
asian-elephant.webp | majestic portrait of a Asian Elephant, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
atlantic-puffin.webp | majestic portrait of a Atlantic Puffin, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
atlantic-salmon.webp | majestic portrait of a Atlantic Salmon, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
axolotl.webp | majestic portrait of a Axolotl, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bactrian-camel.webp | majestic portrait of a Bactrian Camel, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bald-eagle.webp | majestic portrait of a Bald Eagle, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
ball-python.webp | majestic portrait of a Ball Python, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
barn-owl.webp | majestic portrait of a Barn Owl, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
belted-kingfisher.webp | majestic portrait of a Belted Kingfisher, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
beluga-whale.webp | majestic portrait of a Beluga Whale, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
black-bear.webp | majestic portrait of a Black Bear, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
black-widow-spider.webp | majestic portrait of a Black Widow Spider, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
black-capped-chickadee.webp | majestic portrait of a Black-Capped Chickadee, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
blue-jay.webp | majestic portrait of a Blue Jay, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
blue-marlin.webp | majestic portrait of a Blue Marlin, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
blue-whale.webp | majestic portrait of a Blue Whale, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
blue-tongued-skink.webp | majestic portrait of a Blue-Tongued Skink, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
boa-constrictor.webp | majestic portrait of a Boa Constrictor, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bobcat.webp | majestic portrait of a Bobcat, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bonobo.webp | majestic portrait of a Bonobo, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
bottlenose-dolphin.webp | majestic portrait of a Bottlenose Dolphin, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
brown-pelican.webp | majestic portrait of a Brown Pelican, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
budgerigar.webp | majestic portrait of a Budgerigar, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
canada-goose.webp | majestic portrait of a Canada Goose, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
capybara.webp | majestic portrait of a Capybara, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
carpenter-ant.webp | majestic portrait of a Carpenter Ant, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cassowary.webp | majestic portrait of a Cassowary, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
catfish.webp | majestic portrait of a Catfish, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
chambered-nautilus.webp | majestic portrait of a Chambered Nautilus, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cheetah.webp | majestic portrait of a Cheetah, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
chimpanzee.webp | majestic portrait of a Chimpanzee, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
chipmunk.webp | majestic portrait of a Chipmunk, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
clownfish.webp | majestic portrait of a Clownfish, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cockatiel.webp | majestic portrait of a Cockatiel, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cockroach.webp | majestic portrait of a Cockroach, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
common-loon.webp | majestic portrait of a Common Loon, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
common-octopus.webp | majestic portrait of a Common Octopus, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
common-raven.webp | majestic portrait of a Common Raven, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
common-snapping-turtle.webp | majestic portrait of a Common Snapping Turtle, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
copperhead.webp | majestic portrait of a Copperhead, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
coral-polyp.webp | majestic portrait of a Coral Polyp, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cottonmouth.webp | majestic portrait of a Cottonmouth, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cougar.webp | majestic portrait of a Cougar, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
coyote.webp | majestic portrait of a Coyote, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
cuttlefish.webp | majestic portrait of a Cuttlefish, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
damselfly.webp | majestic portrait of a Damselfly, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
double-crested-cormorant.webp | majestic portrait of a Double-Crested Cormorant, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
downy-woodpecker.webp | majestic portrait of a Downy Woodpecker, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
dragonfly.webp | majestic portrait of a Dragonfly, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
dromedary-camel.webp | majestic portrait of a Dromedary Camel, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
dung-beetle.webp | majestic portrait of a Dung Beetle, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
earwig.webp | majestic portrait of a Earwig, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
eastern-box-turtle.webp | majestic portrait of a Eastern Box Turtle, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
eastern-newt.webp | majestic portrait of a Eastern Newt, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
echidna.webp | majestic portrait of a Echidna, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
elk.webp | majestic portrait of a Elk, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
emperor-penguin.webp | majestic portrait of a Emperor Penguin, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
emperor-scorpion.webp | majestic portrait of a Emperor Scorpion, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
emu.webp | majestic portrait of a Emu, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
eurasian-hoopoe.webp | majestic portrait of a Eurasian Hoopoe, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
european-hedgehog.webp | majestic portrait of a European Hedgehog, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
european-starling.webp | majestic portrait of a European Starling, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
fennec-fox.webp | majestic portrait of a Fennec Fox, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
field-cricket.webp | majestic portrait of a Field Cricket, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
fire-ant.webp | majestic portrait of a Fire Ant, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
fire-salamander.webp | majestic portrait of a Fire Salamander, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
firefly.webp | majestic portrait of a Firefly, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
galapagos-tortoise.webp | majestic portrait of a Galapagos Tortoise, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
garter-snake.webp | majestic portrait of a Garter Snake, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
giant-anteater.webp | majestic portrait of a Giant Anteater, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
giant-panda.webp | majestic portrait of a Giant Panda, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
giant-squid.webp | majestic portrait of a Giant Squid, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
gila-monster.webp | majestic portrait of a Gila Monster, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
golden-eagle.webp | majestic portrait of a Golden Eagle, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
goldfish.webp | majestic portrait of a Goldfish, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
grasshopper.webp | majestic portrait of a Grasshopper, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
gray-wolf.webp | majestic portrait of a Gray Wolf, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
great-blue-heron.webp | majestic portrait of a Great Blue Heron, full body or noble head-and-shoulders. Vintage collectible trading-card illustration, rich painterly engraving style with fine linework, warm muted palette with deep jewel accents, soft dark vignette background, subject centered and filling the frame, dramatic soft lighting, square composition, no text, no lettering, no borders, no watermark
